SegmentId;Length;Road;Antal kf;Max_speed
1071754891;930;83;1kf;90
1071754134;934;83;1kf;90
1071754197;932;83;1kf;90
1071754002;932;83;1kf;90
428397715;938;83;1kf;90
1071754066;929;83;1kf;90
374986318;929;83;1kf;90
1071754391;935;83;1kf;90
1071754420;915;83;1kf;90
1071754453;938;83;1kf;90
1071754491;930;83;1kf;90
1071754259;925;83;1kf;90
1071754235;927;83;1kf;90
1071754164;927;83;1kf;90
1071891776;982;E4;Vävning;100
1071891750;991;E4;1kf;100
1071891804;993;E4;1kf->2kf;100
428399187;574;E4;Vävning;100
374928642;1403;E4;1kf;100
374928641;954;E4;1kf;100
428403373;215;E4;1kf;100
1071860537;728;E4;1kf;100
428403366;366;E4;1kf;100
1071860295;972;E4;1kf->2kf;100
428403367;672;E4;Vävning;100
374951799;690;E4;1kf;100
428403349;109;E4;1kf;100
428403357;51;E4;1kf;100
428403353;62;E4;1kf;100
1071860329;947;E4;1kf->2kf;100
1071863482;949;E4;Vävning;100
374951810;1037;E4;1kf;100
1071863801;1046;E4;1kf->2kf;100
1071863833;1004;E4;Vävning;100
1071863817;678;E4;1kf;100
428403355;1259;E4;1kf->2kf;100
428403356;956;E4;Vävning;100
1071863848;946;E4;1kf->2kf;100
1071863900;963;E4;2kf;100
1071863882;959;E4;Vävning;100
1071863659;952;E4;1kf;100
1071863641;957;E4;1kf->2kf;100
1071863692;952;E4;2kf;100
1071863723;819;E4;Vävning;100
1071863705;953;E4;1kf;100
374951704;955;E4;1kf;100
428389807;78;E4;1kf;100
428389805;624;E4;1kf;100
428389808;214;E4;1kf;100
1071723768;954;E4;Vävning;100
1071723815;976;E4;1kf;100
1071723800;976;E4;1kf->2kf;100
1071723854;976;E4;Vävning;100
1071723838;1309;E4;1kf;100
226944388;624;E4;1kf->2kf;100
1071723605;970;E4;Vävning;100
226255131;976;E4;1kf;100
1071723637;970;E4;1kf;100
1071723686;962;E4;1kf;100
1071723676;977;E4;1kf->2kf;100
428408667;966;E4;Vävning;100
374870394;966;E4;1kf;100
1071723711;970;E4;1kf->2kf;90
226910815;969;E4;Vävning;100
1071727490;969;E4;1kf;100
1071727508;969;E4;1kf;100
1071727524;969;E4;1kf->2kf;100
1071727542;968;E4;Vävning;100
1071727530;969;E4;1kf;100
428390706;111;E4;1kf;100
428390708;326;E4;1kf;100
428390704;344;E4;2kf;100
428397748;1028;E4;Vävning;100
1071729359;1027;E4;1kf;100
428397749;1076;E4;1kf->2kf;100
428397750;1027;E4;Vävning;100
428397751;1027;E4;1kf->2kf;100
428397752;1076;E4;Vävning;100
428397753;1027;E4;1kf;100
428397754;1027;E4;1kf->2kf;100
1071729193;1076;E4;Vävning;100
1071729215;1027;E4;1kf;100
1071729231;1027;E4;1kf->2kf;100
1071729246;1089;E4;Vävning;100
1071729262;1038;E4;1kf->2kf;100
374875849;1011;E4;Vävning;100
1071729277;1033;E4;1kf;100
1071729559;1033;E4;1kf->2kf;100
1071729575;1074;E4;Vävning;100
1071729591;1033;E4;1kf->2kf;100
1071729581;1033;E4;2kf;100
1071729597;1033;E4;Vävning;100
1071729614;1074;E4;1kf->2kf;100
1071729630;1033;E4;2kf;100
1071729645;1281;E4;Vävning;100
1071729662;791;E4;1kf;100
374870394;977;E4;1kf;100
1071754019;927;83;1kf;90
1071754180;934;83;1kf;90
1071754151;930;83;1kf;90
1071754251;932;83;1kf;90
375118964;931;83;1kf;90
428410138;932;83;1kf;90
1071754109;929;83;1kf;90
1071754436;808;83;1kf;90
1071754407;929;83;1kf;90
1071754470;1048;83;1kf;90
1071754507;929;83;1kf;90
1071754305;924;83;1kf;90
1071754276;930;83;1kf;90
1071754214;927;83;1kf;90
1071846315;969;E4;2kf;100
1071846331;975;E4;1kf->2kf;100
1071846327;981;E4;1kf;100
428403372;634;E4;1kf;100
1071846295;1310;E4;Vävning;100
1071846247;977;E4;2kf;100
428403374;81;E4;2kf;100
428403369;192;E4;1kf->2kf;100
428403352;645;E4;Vävning;100
1071846212;455;E4;1kf->2kf;100
1071846229;888;E4;1kf;100
428403351;671;E4;Vävning;100
1071845928;662;E4;2kf;100
428403350;101;E4;2kf;100
428403354;207;E4;1kf->2kf;100
